title,rank,date,artist,url,region,chart,trend,streams
Vente Pa' Ca (feat. Maluma),37,2017-01-01,Ricky Martin,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,Global,top200,MOVE_UP,1016899
All Night,38,2017-01-01,"The Vamps, Matoma",https://open.spotify.com/track/4b4KcovePX8Ke2cLIQTLM0,Global,top200,MOVE_DOWN,1003894
By Your Side,39,2017-01-01,"Jonas Blue, RAYE",https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j,Global,top200,MOVE_DOWN,971615
We Don't Talk Anymore (feat. Selena Gomez),40,2017-01-01,Charlie Puth,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV,Global,top200,MOVE_UP,971342
Caroline,41,2017-01-01,Aminé,https://open.spotify.com/track/7FB8l7UA1HKqnuSLjP9qDc,Global,top200,MOVE_UP,963128
Now and Later,42,2017-01-01,Sage The Gemini,https://open.spotify.com/track/08WPvDEsHvTFuB9w8tC2OS,Global,top200,MOVE_DOWN,959972
Love Me Now,43,2017-01-01,John Legend,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89,Global,top200,MOVE_UP,950832
The Mack,44,2017-01-01,"Nevada, Mark Morrison, Fetty Wap",https://open.spotify.com/track/7aV2mflaASUmGhCErm7kBO,Global,top200,MOVE_DOWN,949200
Alone,45,2017-01-01,Alan Walker,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,Global,top200,MOVE_DOWN,936813
Work,46,2017-01-01,"Rihanna, Drake",https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v,Global,top200,MOVE_UP,899368
Otra vez (feat. J Balvin),47,2017-01-01,Zion & Lennox,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,Global,top200,MOVE_UP,893174
I Would Like,48,2017-01-01,Zara Larsson,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6,Global,top200,MOVE_DOWN,892922
Hear Me Now,49,2017-01-01,"Alok, Bruno Martini, Zeeba",https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON,Global,top200,MOVE_DOWN,873494
Shed a Light,50,2017-01-01,"Robin Schulz, David Guetta, Cheat Codes",https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY,Global,top200,MOVE_DOWN,868259
Bounce Back,51,2017-01-01,Big Sean,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF,Global,top200,MOVE_UP,859929
Love Yourself,52,2017-01-01,Justin Bieber,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT,Global,top200,MOVE_UP,858762
Cake By The Ocean,53,2017-01-01,DNCE,https://open.spotify.com/track/2aFiaMXmWsM3Vj72F9ksBl,Global,top200,MOVE_DOWN,830889
Party Monster,54,2017-01-01,The Weeknd,https://open.spotify.com/track/4F7A0DXBrmUAkp32uenhZt,Global,top200,MOVE_UP,829599
Sorry,55,2017-01-01,Justin Bieber,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ,Global,top200,MOVE_DOWN,827170
Ride,56,2017-01-01,Twenty One Pilots,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW,Global,top200,MOVE_DOWN,825398
