title,rank,date,artist,url,region,chart,trend,streams
goosebumps,170,2017-01-01,Travis Scott,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,Global,top200,NEW_ENTRY,371600
That's What I Like,171,2017-01-01,Bruno Mars,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,Global,top200,MOVE_UP,371473
Light,172,2017-01-01,San Holo,https://open.spotify.com/track/7zTx8ePYAmPFQuxP3xlXZn,Global,top200,MOVE_UP,371468
Immortal,173,2017-01-01,J. Cole,https://open.spotify.com/track/6AGON2BGdPmPMJGiiNuuwl,Global,top200,MOVE_UP,367746
Chillax (feat. Ky-Mani Marley),174,2017-01-01,Farruko,https://open.spotify.com/track/1lxswgIpzV6HhENRvkflES,Global,top200,NEW_ENTRY,363805
Wake Up Where You Are,175,2017-01-01,State of Sound,https://open.spotify.com/track/2s76aKBWKShlwPC4xTtEEE,Global,top200,MOVE_DOWN,362966
Would I Lie to You - Radio Edit,176,2017-01-01,"David Guetta, Cedric Gervais, Chris Willis",https://open.spotify.com/track/4PdJSsESm34djLfBde9Pr2,Global,top200,MOVE_DOWN,359074
Please Don't Go,177,2017-01-01,Joel Adams,https://open.spotify.com/track/3cNjgVBKTJ1SvKhunrCdVy,Global,top200,MOVE_DOWN,357531
Rockin’,178,2017-01-01,The Weeknd,https://open.spotify.com/track/36YCdzT57us0LhDmCYtrNE,Global,top200,MOVE_DOWN,357162
Sugar (feat. Francesco Yates),179,2017-01-01,Robin Schulz,https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w,Global,top200,MOVE_DOWN,355613
Hymn for the Weekend,180,2017-01-01,Coldplay,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy,Global,top200,MOVE_DOWN,352612
Alarm,181,2017-01-01,Anne-Marie,https://open.spotify.com/track/0OwX5aROoW1Iip8FV51Efg,Global,top200,MOVE_DOWN,351130
You & Me,182,2017-01-01,"Marc E. Bassy, G-Eazy",https://open.spotify.com/track/4QdovcM8j50QPlyR7tH4xe,Global,top200,MOVE_UP,350746
No Lie,183,2017-01-01,"Sean Paul, Dua Lipa",https://open.spotify.com/track/3cFsmM51N5zMAuu1nNY4Tw,Global,top200,MOVE_DOWN,350700
Bobo,184,2017-01-01,J Balvin,https://open.spotify.com/track/7AtlMCIauSQZqiXSlbBPW6,Global,top200,MOVE_UP,350414
Stay (feat. Maty Noyes),185,2017-01-01,Kygo,https://open.spotify.com/track/2FiSTH0GYpIioUgjfzMIja,Global,top200,MOVE_DOWN,347597
Used to This (feat. Drake),186,2017-01-01,Future,https://open.spotify.com/track/78sr3ogs4UzITcCNbXM9cM,Global,top200,NEW_ENTRY,344032
Purple Lamborghini (with Rick Ross),187,2017-01-01,Skrillex,https://open.spotify.com/track/6JyuJFedEvPmdWQW0PkbGJ,Global,top200,NEW_ENTRY,343807
Cool Girl,188,2017-01-01,Tove Lo,https://open.spotify.com/track/5dKyZWlgjWw1oJgLa4GCZD,Global,top200,MOVE_DOWN,343803
Miss You,189,2017-01-01,James Hersey,https://open.spotify.com/track/7of1slAJIWrXxP8ikAHxje,Global,top200,MOVE_DOWN,342000
Die For You,190,2017-01-01,The Weeknd,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3,Global,top200,NEW_ENTRY,341736
"Lose Yourself - From ""8 Mile"" Soundtrack",191,2017-01-01,Eminem,https://open.spotify.com/track/5Z01UMMf7V1o0MzF86s6WJ,Global,top200,NEW_ENTRY,341046
Paper Planes,192,2017-01-01,M.I.A.,https://open.spotify.com/track/1kusepF3AacIEtUTYrw4GV,Global,top200,NEW_ENTRY,341003
Let It Go,193,2017-01-01,James Bay,https://open.spotify.com/track/13HVjjWUZFaWilh2QUJKsP,Global,top200,NEW_ENTRY,340299
Famous,194,2017-01-01,Kanye West,https://open.spotify.com/track/19a3JfW8BQwqHWUMbcqSx8,Global,top200,NEW_ENTRY,336134
Taped up Heart (feat. Clara Mae),195,2017-01-01,KREAM,https://open.spotify.com/track/26hcyzSE154xMZCbFdtInA,Global,top200,MOVE_DOWN,333469
White Iverson,196,2017-01-01,Post Malone,https://open.spotify.com/track/6eT7xZZlB2mwyzJ2sUKG6w,Global,top200,NEW_ENTRY,332756
Oh Lord,197,2017-01-01,MiC LOWRY,https://open.spotify.com/track/1sTUEdVO85YU8Ymk2jeAls,Global,top200,MOVE_DOWN,331792
Superstition - Single Version,198,2017-01-01,Stevie Wonder,https://open.spotify.com/track/5lXcSvHRVjQJ3LB2rLKQog,Global,top200,NEW_ENTRY,331376
Secrets,199,2017-01-01,The Weeknd,https://open.spotify.com/track/3DX4Y0egvc0slLcLl31h2p,Global,top200,NEW_ENTRY,331233
Ni**as In Paris,200,2017-01-01,"JAY-Z, Kanye West",https://open.spotify.com/track/2KpCpk6HjXXLb7nnXoXA5O,Global,top200,NEW_ENTRY,325951
