title,rank,url,artist
Sorry,55,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ,Justin Bieber
Ride,56,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW,Twenty One Pilots
La Bicicleta,57,https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU,"Carlos Vives, Shakira"
Perfect Strangers,58,https://open.spotify.com/track/5bZtRlMBU76vHuDOb1GM5u,"Jonas Blue, JP Cooper"
Panda,59,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h,Desiigner
Too Good,60,https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew,"Drake, Rihanna"
"How Far I'll Go - From ""Moana""",61,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN,Alessia Cara
Sexual,62,https://open.spotify.com/track/3AsAuGTaDQzavZZThyYlop,"NEIKED, Dyo"
Into You,63,https://open.spotify.com/track/7yHEDfrJNd0zWOfXwydNH0,Ariana Grande
Stressed Out,64,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn,Twenty One Pilots
Deja Vu,65,https://open.spotify.com/track/6I6NX6tjGsxFAsIfGzY9lJ,J. Cole
Shaky Shaky,66,https://open.spotify.com/track/58IL315gMSTD37DOZPJ2hf,Daddy Yankee
Faded,67,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos,Alan Walker
The Greatest (feat. Kendrick Lamar),68,https://open.spotify.com/track/7xHWNBFm6ObGEQPaUxHuKO,Sia
Controlla,69,https://open.spotify.com/track/6F609ICg9Spjrw1epsAnpa,Drake
Light It Up (feat. Nyla & Fuse ODG) - Remix,70,https://open.spotify.com/track/0L7loeTIg6akW84aEQZpCT,Major Lazer
Traicionera,71,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT,Sebastian Yatra
X (feat. Future),72,https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO,"21 Savage, Metro Boomin"
Send My Love (To Your New Lover),73,https://open.spotify.com/track/4BHzQ9C00ceJxfG16AlNWb,Adele
Juju on That Beat (TZ Anthem),74,https://open.spotify.com/track/1lItf5ZXJc1by9SbPeljFd,"Zay Hilfigerrr, Zayion McCall"
